"","summary"
"87","04/10/2005: Al-Qaeda In Iraq claimed responsibility for the kidnapping of Brigadier General Basin al-Jaza’iri, chief of Najaf Police department in Iraq. The group later executed the chief; their statement was posted on the Internet."
"88","04/14/2005: A multi-car suicide bomber attack targeted US troops and the Iraqi Ministry of Interior within Baghdad's Green Zone killing 18 Iraqis and injuring 24 others. No group claimed responsibility for the bombing."
"89","04/15/2005: Members of Abu-Mus'ab al-Zarqawi’s Al-Qaida in Iraq organization coordinated a suicide car bombing near the Russian embassy in Baghdad, Iraq. The explosion blew out the embassy building’s windows and wounded five people."
"90","04/23/2005: Al-Qaida in Iraq claimed responsibility for a suicide car bombing that targeted an Iraqi Army patrol near Abu Ghraib Prison in Abu Ghraib, Iraq which killed nine soldiers. The explosion injured 20 other people including civilians as well."
"91","04/24/2005: Two car-bombs exploded outside a police academy training center in Tikrit, Iraq killing six people and injuring 26 others. Among those killed were four police officers. Al-Qaida in Iraq claimed responsibility for the bombing."
"92","04/30/2005: A car-bomb damaged a jointly operated United States-Iraq checkpoint in Baghdad, Iraq. Several military vehicles were damaged in the attack. The Abu Musab al-Zarqawi led organization, Al-Qaida in Iraq, claimed responsibility for the attack in an Internet statement."
"93","04/30/2005: A suicide car bomber targeted a joint US-Iraqi military convoy in Baghdad, Iraq injuring four soldiers. Two civilians were killed and six others were injured in the blast as well. Al-Qaida in Iraq claimed responsibility for the attack via an internet website post."
"94","05/01/2005: A suicide car bomb aimed at a U.S. military convoy killed 4 civilians, including children, and wounded 22 others in the Zafaraniya district of southern Baghdad, Iraq. Al-Qa’ida in Iraq claimed responsibility for the attack."
"95","05/02/2005: Al-Qaida in Iraq members claimed responsibility for the car bombing of a passport office that killed three people and injured six others in Baghdad, Iraq."
"96","05/06/2005: Six Jordanian contractors working with the US military in Iraq were kidnapped. The group al-Bara bin Malek Jihad claimed responsibility in a video which aired on al Jazeera and showed the six hostages holding their passports. One of the hostages read a statement warning Jordanian companies to leave Iraq."
"97","05/07/2005: Two suicide car bombs exploded near a convoy in Tahrir Square of Baghdad, Iraq, killing two American civilian contractors from the CTU Consulting firm along with 20 others. Thirty-five Iraqi civilians were also wounded. Al-Qaida in Iraq claimed responsibility for the attack."
"98","05/10/2005: The governor of Iraq’s Anbar Governorate, Raja Nawaf Farhan al- Mahalawi, was kidnapped in Iraq along with his son and four bodyguards on a road from Qaim to Ramadi. The perpetrators demanded that U.S. troops cease military operations within the town of Qaim, Iraq in addition to releasing captured fighters loyal to Abu Musab al-Zarqawi. The group al-Qaida in Iraq is believed to be responsible. The Governor's body was found inside a building on May 26, 2005 after a shootout between foreign fighters and U.S. soldiers in the town of Rawah, Iraq."
"99","05/12/2005: An unidentified suicide car bomber attacked a market in Baghdad, Iraq killing 14 people and injuring several others. Al-Qaida in Iraq claimed responsibility for the bombing and several other Baghdad attacks that had occurred during the week prior to this attack."
"100","05/12/2005: Unidentified gunmen shot and killed Colonel Fadhil Muhammed Mobarak of the Iraqi Police as he was leaving his home in the Al-Amin neighborhood of eastern Baghdad. Al-Qa’ida in Iraq claimed responsibility for the attack."
"101","05/18/2005: Unidentified gunmen shot and killed Ibrahim Khmamas, an investigator in the Iraqi Interior Ministry, outside his home in the Al-Za'faraniyah neighborhood of Baghdad, Iraq. The general’s wife and driver were also wounded in the assault. The group al-Qa’ida in Iraq claimed responsibility for the attack."
"102","05/23/2005: Gunmen shot and killed Wael Rubaie, an adviser to the Iraqi Ministry of National Security, in the Mansour district of Baghdad, Iraq. His driver was also killed in the assault. The group Al-Qa’ida in Iraq claimed responsibility for the attack."
"103","05/29/2005: Insurgents attacked a police major crimes unit in the Amariyah neighborhood of Baghdad using rocket-propelled grenades, mortars, machine-guns, and a car bomb. The attack killed seven civilians and four police officers, and wounded twelve civilians. Al-Qaeda in Iraq claimed responsibility for the attack."
"104","05/30/2005: Three suicide bombers detonated explosives during a police rally in Al-Hillah, Iraq, killing 31 and wounding 108 others. The group Al-Qa’ida in Iraq claimed responsibility for the attack."
"105","05/30/2005: A group loyal to Abu Musab al-Zarqawi claimed responsibility for double suicide attacks in Hillah that killed twenty-seven and injured at least 118. The suicide bombers entered a crowd of more than 500 former police commandos who were protesting outside the police station, and new recruits who were there to apply to join the police."
"106","06/01/2005: Twenty-one people were killed and 52 were wounded in a suicide bombing at the Abdul Rab Akhundzada Mosque in Kandahar (Province), Afghanistan, during the funeral of Maulvi Abdullah Fayyaz, an anti-Taliban cleric who was killed earlier in the week. The bomber was identified by officials as an Arab, but further details were not disclosed. Some officials believed that al-Qaida was responsible for that attack. The Taliban, which did claim responsibility for the death of Fayyaz, denied responsibility for this incident. Among the dead was Kabul Police Chief General Akram Khakraizwall, who was believed to have been a specific target of the explosion."
"107","06/11/2005: A suicide car bomb severely damaged the building of the Slovak Embassy in Baghdad, Iraq, resulting in no casualties and no damage to the residence. An Iraqi branch of Al-Qaida claimed responsibility for the attack, claiming that a meeting of US CIA agents was going on inside the embassy."
"108","06/13/2005: An American convoy was attacked in Baghdad using a booby-trapped car. The attack, which may have been targeting an unspecified US diplomat, killed two Iraqis and might have wounded some American soldiers. The al-Zarqawi group, Tanzim al-Qaida fi Bilad al-Rafidayn [Al-Qaida Organization in the Land of the Two Rivers], claimed responsibility."
